Water_Temp,Avg_Wind,Gust,Wave_Height,Wave_Period,Gust_Dir
7.1 C,12kts,16kts,0.6m,4s,65 (NE) at 11/04/2018 15:17:00
7.1 C,11kts,15kts,0.7m,3s,59 (NE) at 11/04/2018 14:56:00
7.1 C,11kts,15kts,0.4m,3s,27 (NE) at 11/04/2018 14:38:00
7.1 C,11kts,14kts,0.4m,3s,38 (NE) at 11/04/2018 14:20:00
7.1 C,10kts,14kts,0.4m,3s,10 (N) at 11/04/2018 13:59:00
7.1 C,13kts,19kts,0.4m,3s,49 (NE) at 11/04/2018 13:41:00
7.1 C,14kts,19kts,0.4m,3s,22 (N) at 11/04/2018 13:23:00
7.1 C,12kts,16kts,0.4m,3s,34 (NE) at 11/04/2018 13:02:00
7 C,15kts,18kts,0.4m,3s,29 (NE) at 11/04/2018 12:44:00
7.1 C,13kts,16kts,0.5m,3s,37 (NE) at 11/04/2018 12:26:00
7 C,12kts,17kts,0.4m,3s,43 (NE) at 11/04/2018 12:05:00
7 C,14kts,17kts,0.4m,3s,36 (NE) at 11/04/2018 11:47:00
7 C,13kts,17kts,0.4m,3s,49 (NE) at 11/04/2018 11:29:00
7 C,12kts,15kts,0.4m,3s,46 (NE) at 11/04/2018 11:08:00
7 C,12kts,15kts,0.4m,3s,40 (NE) at 11/04/2018 10:50:00
7.1 C,8kts,11kts,0.4m,3s,45 (NE) at 11/04/2018 10:32:00
7.1 C,9kts,16kts,0.6m,3s,42 (NE) at 11/04/2018 10:11:00
7.1 C,12kts,14kts,0.4m,3s,33 (NE) at 11/04/2018 09:53:00
7.2 C,11kts,15kts,0.5m,3s,35 (NE) at 11/04/2018 09:35:00
7.2 C,8kts,12kts,0.4m,3s,45 (NE) at 11/04/2018 09:14:00
7.2 C,8kts,12kts,0.4m,3s,45 (NE) at 11/04/2018 08:56:00
7.2 C,8kts,11kts,0.4m,3s,53 (NE) at 11/04/2018 08:38:00
7 C,7kts,12kts,0.4m,3s,43 (NE) at 11/04/2018 08:17:00
7 C,6kts,8kts,0.5m,3s,31 (NE),34 (NE) at 11/04/2018 07:59:00
7 C,6kts,9kts,0.5m,3s,51 (NE),46 (NE) at 11/04/2018 07:41:00
7 C,7kts,10kts,0.5m,3s,39 (NE) at 11/04/2018 07:20:00
7 C,8kts,12kts,0.5m,3s,53 (NE) at 11/04/2018 07:02:00
7 C,8kts,13kts,0.5m,3s,42 (NE) at 11/04/2018 06:41:00
7 C,4kts,9kts,0.5m,4s,21 (N),23 (NE) at 11/04/2018 06:23:00
7 C,3kts,7kts,0.6m,3s,25 (NE),22 (N) at 11/04/2018 06:05:00
7 C,2kts,9kts,0.5m,4s,20 (N),14 (N) at 11/04/2018 05:44:00
7.1 C,2kts,13kts,0.8m,4s,72 (E) at 11/04/2018 05:26:00
7.1 C,4kts,10kts,0.6m,4s,71 (E) at 11/04/2018 05:08:00
7 C,4kts,12kts,0.6m,4s,77 (E),58 (NE) at 11/04/2018 04:47:00
7 C,2kts,10kts,0.7m,3s,61 (NE) at 11/04/2018 04:29:00
7 C,2kts,10kts,0.7m,3s,61 (NE) at 11/04/2018 04:11:00
7 C,3kts,13kts,0.8m,4s,24 (NE),21 (N) at 11/04/2018 03:50:00
7 C,3kts,13kts,0.6m,4s,76 (E),36 (NE) at 11/04/2018 03:32:00
7 C,2kts,11kts,0.7m,4s,67 (NE) at 11/04/2018 03:14:00
7 C,5kts,12kts,0.6m,3s,42 (NE) at 11/04/2018 02:53:00
7 C,9kts,14kts,0.7m,4s,63 (NE) at 11/04/2018 02:35:00
7 C,10kts,14kts,0.6m,3s,76 (E) at 11/04/2018 02:17:00
7 C,11kts,16kts,0.6m,3s,59 (NE) at 11/04/2018 01:56:00
7 C,13kts,16kts,0.5m,3s,28 (NE) at 11/04/2018 01:38:00
7 C,13kts,18kts,0.5m,3s,36 (NE) at 11/04/2018 01:20:00
7 C,14kts,18kts,0.5m,3s,40 (NE) at 11/04/2018 00:59:00
7 C,12kts,16kts,0.5m,3s,30 (NE) at 11/04/2018 00:41:00
7 C,10kts,15kts,0.5m,3s,37 (NE) at 11/04/2018 00:23:00
7 C,9kts,12kts,0.5m,3s,51 (NE) at 11/04/2018 00:02:00
7 C,9kts,13kts,0.6m,3s,48 (NE) at 10/04/2018 23:44:00
7 C,9kts,13kts,0.6m,3s,41 (NE) at 10/04/2018 23:26:00
7 C,9kts,12kts,0.5m,3s,56 (NE) at 10/04/2018 23:05:00
7 C,10kts,13kts,0.5m,4s,51 (NE) at 10/04/2018 22:47:00
7 C,11kts,14kts,0.5m,3s,29 (NE) at 10/04/2018 22:29:00
7 C,11kts,16kts,0.5m,3s,40 (NE) at 10/04/2018 22:08:00
7 C,11kts,14kts,0.6m,3s,33 (NE) at 10/04/2018 21:50:00
7 C,12kts,16kts,0.7m,3s,21 (N) at 10/04/2018 21:32:00
7.1 C,13kts,17kts,0.7m,3s,58 (NE) at 10/04/2018 21:11:00
7.1 C,12kts,16kts,0.7m,4s,49 (NE) at 10/04/2018 20:53:00
7 C,13kts,17kts,0.7m,3s,32 (NE) at 10/04/2018 20:35:00
7 C,12kts,17kts,0.8m,4s,55 (NE) at 10/04/2018 20:14:00
7 C,13kts,18kts,0.8m,4s,46 (NE) at 10/04/2018 19:56:00
7 C,14kts,19kts,0.9m,4s,47 (NE) at 10/04/2018 19:35:00
7 C,15kts,20kts,1m,4s,51 (NE),39 (NE) at 10/04/2018 19:17:00
7 C,15kts,21kts,1.1m,4s,43 (NE) at 10/04/2018 18:59:00
7 C,16kts,23kts,1.2m,4s,77 (E) at 10/04/2018 18:38:00
7 C,17kts,23kts,1.2m,4s,8 (N),25 (NE) at 10/04/2018 18:20:00
7 C,16kts,21kts,0.9m,3s,26 (NE) at 10/04/2018 18:02:00
7 C,17kts,24kts,0.9m,4s,64 (NE) at 10/04/2018 17:41:00
